date,  G,  F,  C,  S,  I
12/31/2019,16.3504,19.7176,47.2602,56.2759,32.7166
12/30/2019,16.3495,19.7343,47.1187,56.1012,32.7045
12/27/2019,16.347,19.7456,47.3859,56.3174,32.8107
12/26/2019,16.3462,19.7049,47.3848,56.5053,32.6105
12/24/2019,16.3445,19.6979,47.1384,56.4009,32.5897
12/23/2019,16.3437,19.6724,47.1444,56.3118,32.5462
12/20/2019,16.3412,19.6879,47.1039,56.2823,32.56
12/19/2019,16.3404,19.6919,46.87,56.0292,32.4859
12/18/2019,16.3396,19.6727,46.659,55.7565,32.461
12/17/2019,16.3387,19.7,46.6746,55.6596,32.5769
12/16/2019,16.3379,19.6923,46.6591,55.5464,32.6267
12/13/2019,16.3354,19.7477,46.3252,55.093,32.3553
12/12/2019,16.3346,19.6587,46.315,55.2256,32.1208
12/11/2019,16.3337,19.7552,45.9149,54.8604,31.8433
12/10/2019,16.3329,19.7125,45.7815,54.8405,31.7906
12/9/2019,16.3321,19.7094,45.8299,54.871,31.8433
12/6/2019,16.3296,19.6918,45.9716,55.06,31.807
12/5/2019,16.3288,19.7215,45.5533,54.5758,31.6157
12/4/2019,16.3279,19.7304,45.4724,54.5838,31.5694
12/3/2019,16.3271,19.7941,45.182,54.3165,31.4314
12/2/2019,16.3263,19.67,45.4828,54.4937,31.5845
11/29/2019,16.3248,19.7324,45.8775,55.0912,31.69
11/27/2019,16.3224,19.7318,46.0519,55.4515,31.8442
11/26/2019,16.3217,19.756,45.8553,55.1355,31.7843
11/25/2019,16.3209,19.7237,45.7535,54.9658,31.7492
11/22/2019,16.3185,19.7016,45.4074,54.1331,31.5277
11/21/2019,16.3178,19.6988,45.3083,53.9956,31.4992
11/20/2019,16.317,19.7288,45.3776,54.2556,31.5915
11/19/2019,16.3163,19.6908,45.5398,54.3257,31.7859
11/18/2019,16.3155,19.6699,45.5642,54.1176,31.8014
11/15/2019,16.3132,19.6451,45.5405,54.1439,31.7107
11/14/2019,16.3124,19.6589,45.1851,53.8048,31.4685
11/13/2019,16.3116,19.6067,45.136,53.7335,31.6263
11/12/2019,16.3109,19.5723,45.1024,53.8032,31.749
11/8/2019,16.3078,19.5404,45.1181,53.7769,31.6804
11/7/2019,16.307,19.5441,44.9951,53.5576,31.7578
11/6/2019,16.3062,19.645,44.8516,53.4088,31.7103
11/5/2019,16.3055,19.5917,44.8168,53.6388,31.6656
11/4/2019,16.3047,19.6675,44.8698,53.654,31.6741
11/1/2019,16.3024,19.7143,44.7036,53.4606,31.507
10/31/2019,16.3016,19.7428,44.2721,52.6999,31.3289
10/30/2019,16.3009,19.6386,44.4036,53.0616,31.3021
10/29/2019,16.3001,19.6032,44.256,53.0585,31.277
10/28/2019,16.2994,19.5833,44.2923,53.0199,31.1748
10/25/2019,16.297,19.6212,44.0465,52.6753,31.1385
10/24/2019,16.2963,19.6504,43.8668,52.3451,31.1015
10/23/2019,16.2955,19.6528,43.7834,52.1167,30.9496
10/22/2019,16.2948,19.6477,43.6574,52.032,30.9368
10/21/2019,16.294,19.6189,43.8126,52.2201,30.9252
10/18/2019,16.2917,19.6516,43.5124,51.8353,30.7516
10/17/2019,16.2909,19.6383,43.6824,52.0685,30.7868
10/16/2019,16.2902,19.6489,43.559,51.6516,30.6891
10/15/2019,16.2894,19.6281,43.6435,51.8487,30.6024
10/11/2019,16.2863,19.6331,43.2731,51.4863,30.372
10/10/2019,16.2855,19.7028,42.8012,50.67,29.8238
10/9/2019,16.2848,19.767,42.5271,50.4886,29.668
10/8/2019,16.284,19.812,42.1303,50.1218,29.6371
10/7/2019,16.2833,19.8018,42.7953,51.0454,29.8513
10/4/2019,16.2809,19.8393,42.9877,51.1602,29.686
10/3/2019,16.2802,19.8156,42.3852,50.6315,29.5587
10/2/2019,16.2794,19.752,42.0393,50.244,29.5998
10/1/2019,16.2787,19.721,42.8061,50.8314,30.099
9/30/2019,16.278,19.6872,43.3358,51.7028,30.2407
9/27/2019,16.2758,19.6789,43.116,51.4884,30.3411
9/26/2019,16.2751,19.6659,43.3403,51.9789,30.2732
9/25/2019,16.2744,19.6143,43.4432,52.3546,30.1812
9/24/2019,16.2736,19.7159,43.1774,51.8838,30.4329
9/23/2019,16.2729,19.6546,43.5405,52.6388,30.4047
9/20/2019,16.2708,19.606,43.5444,52.645,30.5414
9/19/2019,16.27,19.5825,43.7568,52.7894,30.5568
9/18/2019,16.2693,19.5554,43.7534,52.8848,30.4176
9/17/2019,16.2686,19.5238,43.7382,53.1156,30.4462
9/16/2019,16.2679,19.4998,43.6257,53.122,30.3706
9/13/2019,16.2657,19.4364,43.7613,52.8795,30.6469
9/12/2019,16.265,19.5415,43.7814,52.9203,30.4182
9/11/2019,16.2643,19.5931,43.6489,52.9062,30.2738
9/10/2019,16.2636,19.611,43.3332,52.1463,30.0825
9/9/2019,16.2629,19.7018,43.3179,51.8695,30.062
9/6/2019,16.2607,19.7677,43.3186,51.7009,30.0494
9/5/2019,16.26,19.7374,43.2772,51.8166,29.9116
9/4/2019,16.2593,19.8462,42.7119,51.0723,29.6495
9/3/2019,16.2586,19.8318,42.2497,50.5547,29.3312
8/30/2019,16.2557,19.7948,42.5403,51.1623,29.3958
8/29/2019,16.2538,19.7771,42.5076,51.1661,29.217
8/28/2019,16.2529,19.8146,41.9681,50.4062,29.0641
8/27/2019,16.2519,19.7906,41.6933,50.0341,29.1217
8/26/2019,16.251,19.7297,41.8277,50.53,28.9712
8/23/2019,16.2481,19.7526,41.3685,50.1017,28.9105
8/22/2019,16.2472,19.6722,42.4696,51.4369,29.1725
8/21/2019,16.2463,19.7062,42.4904,51.5026,29.2741
8/20/2019,16.2453,19.7177,42.1407,51.0747,29.1112
8/19/2019,16.2444,19.6764,42.4739,51.3932,29.1612
8/16/2019,16.2415,19.7358,41.9637,50.9286,28.8869
